ENSG00000100644
ENSG00000071967
ENSG00000176171
ENSG00000140263
ENSG00000235162
ENSG00000162433
ENSG00000143847
ENSG00000152256
ENSG00000164176
ENSG00000119471
ENSG00000099256
ENSG00000179958
ENSG00000156017
ENSG00000104419
ENSG00000074410
ENSG00000126261
ENSG00000104765
ENSG00000159399
ENSG00000107159
ENSG00000156531
ENSG00000147526
ENSG00000135074
ENSG00000159167
ENSG00000164332
ENSG00000171388
ENSG00000111674
ENSG00000213625
ENSG00000169756
ENSG00000173786
ENSG00000003989
ENSG00000123728
ENSG00000148110
ENSG00000046604
ENSG00000170379
ENSG00000178695
ENSG00000163516
ENSG00000167601
ENSG00000247095
ENSG00000106484
ENSG00000164168
ENSG00000172292
ENSG00000151806
ENSG00000101236
ENSG00000122884
ENSG00000102144
ENSG00000077713
ENSG00000185787
ENSG00000111845
ENSG00000003436
ENSG00000136167
ENSG00000166295
ENSG00000185515
ENSG00000136261
ENSG00000024526
ENSG00000002834
ENSG00000117862
ENSG00000066084
ENSG00000113658
ENSG00000104369
ENSG00000135622
ENSG00000131941
ENSG00000104635
ENSG00000145604
ENSG00000141425
ENSG00000134333
ENSG00000177917
ENSG00000114268
ENSG00000180011
ENSG00000142156
ENSG00000151233
ENSG00000139117
ENSG00000164603
ENSG00000140743
ENSG00000151882
ENSG00000170961
ENSG00000141401
ENSG00000196950
ENSG00000259479
ENSG00000197860
ENSG00000181458
ENSG00000225205
ENSG00000170949
ENSG00000171204
ENSG00000178462
ENSG00000105877
ENSG00000109107
ENSG00000139508
ENSG00000146674
ENSG00000147852
ENSG00000141562
ENSG00000061656
ENSG00000253882
ENSG00000159860
ENSG00000113083
ENSG00000141552
ENSG00000249992
ENSG00000064225
ENSG00000123570
ENSG00000198729
ENSG00000077585
ENSG00000227617
ENSG00000139832
ENSG00000160233
ENSG00000120910
ENSG00000118804
ENSG00000225206
ENSG00000186352
ENSG00000174804
ENSG00000065534
ENSG00000107738
ENSG00000114698
ENSG00000149506
ENSG00000255737
ENSG00000147036
ENSG00000272887
ENSG00000123572
ENSG00000225791
ENSG00000197358
ENSG00000143590
ENSG00000163898
ENSG00000173890
ENSG00000164283
ENSG00000272870
ENSG00000116711
ENSG00000242193
ENSG00000133195
ENSG00000183018
ENSG00000175764
ENSG00000047346
ENSG00000172638
ENSG00000015568
ENSG00000128805
ENSG00000106031
ENSG00000282339
ENSG00000135678
ENSG00000272079
ENSG00000142623
ENSG00000100311
ENSG00000167619
ENSG00000146205
ENSG00000231298
ENSG00000131094
ENSG00000278266
ENSG00000277701
ENSG00000139636
ENSG00000255641
ENSG00000204682
ENSG00000150051
ENSG00000226415
ENSG00000249786
ENSG00000259330
ENSG00000231890
ENSG00000253161
ENSG00000044524
ENSG00000130303
ENSG00000106302
ENSG00000254204
ENSG00000167131
ENSG00000100167
ENSG00000197632
ENSG00000167772
ENSG00000164932
ENSG00000164849
ENSG00000154310
ENSG00000274049
ENSG00000179869
ENSG00000277027
ENSG00000254665
ENSG00000213453
ENSG00000143320
ENSG00000261534
ENSG00000267034
ENSG00000280800
ENSG00000130829
ENSG00000253741
ENSG00000202198
ENSG00000280614
ENSG00000281181
ENSG00000189149
ENSG00000079385
ENSG00000088726
ENSG00000171408
ENSG00000172967
ENSG00000254806
ENSG00000144834
ENSG00000258940
ENSG00000263535
ENSG00000188305
