"";"Bezeichnung";"Gruppe";"Behandlung";"siRNA";"POXIE";"Q";"S";"ExpGroup";"CA9";"ANGPTL4";"BNIP3L";"EPHA3";"SPAG4";"ALDOC";"LDHA";"PGK1";"PPFIA4";"ALDOA";"ENO1";"HK2";"PKM";"IGFBP3";"PDK1";"PFKFB4";"SLC2A1";"CA12";"PFKFB3";"HIF1A";"P4HA1";"VEGFA";"EGLN3";"UCN";"CRABP1";"LOX";"SLC25A43";"DCTPP1";"TMEM45A";"ZP1";"RAB20";"GPR160";"CYBRD1";"CCL28";"RASSF4";"CD274";"NDRG1";"GAPDH";"SLC2A3";"ENO2";"CDC25A";"GPI";"HK1";"PFKL";"PGM1";"PPARGC1B";"TGFB2";"TPI1"
"55";"S_H_3";"S";"S";"NoSi";"H";0;1;"S_NoSi_H";6400;3429,6750801161;324,9009585425;3939,6621227037;918,9586839976;3939,6621227037;107,1773462536;123,1144413345;6859,3501602323;373,2131966147;214,3546925073;400;141,4213562373;162,4504792712;373,2131966147;246,228882669;214,3546925073;324,9009585425;459,4793419988;65,9753955386;459,4793419988;100;1299,60383417;151,571656651;1600;984,9155306759;107,1773462536;114,8698354997;492,457765338;4525,4833995939;324,9009585425;229,7396709994;131,9507910773;303,1433133021;1714,8375400581;303,1433133021;2262,74;246,23;214,3546925073;400;70,7106781187;131,9507910773;324,9009585425;214,35;186,6065983074;81,2252396356;373,2131966147;200
"56";"S_H_4";"S";"S";"NoSi";"H";0;1;"S_NoSi_H";3675,8347359905;1714,8375400581;214,3546925073;1714,8375400581;606,2866266042;1714,8375400581;70,7106781187;100;3675,8347359905;303,1433133021;174,1101126592;324,9009585425;123,1144413345;93,3032991537;303,1433133021;186,6065983074;174,1101126592;303,1433133021;492,457765338;53,5886731268;492,457765338;93,3032991537;857,418770029;100;984,9155306759;649,801917085;70,7106781187;70,7106781187;373,2131966147;2599,20766834;263,9015821546;131,9507910773;100;174,1101126592;1299,60383417;282,8427124746;1392,88;174,11;214,3546925073;282,8427124746;93,3032991537;141,4213562373;229,7396709994;174,11;131,9507910773;87,0550563296;186,6065983074;151,571656651
"57";"Ssi_1";"Ssi";"S";"Si";"N";0;1;"S_Si_N";17,6776695297;87,0550563296;87,0550563296;21,7637640824;100;57,4349177499;107,1773462536;100;46,6516495768;100;93,3032991537;107,1773462536;87,0550563296;50;100;40,6126198178;70,7106781187;46,6516495768;114,8698354997;15,3893051668;93,3032991537;87,0550563296;81,2252396356;32,9876977693;131,9507910773;162,4504792712;28,7174588749;70,7106781187;131,9507910773;46,6516495768;93,3032991537;87,0550563296;50;87,0550563296;81,2252396356;123,1144413345;70,71;93,3;100;81,2252396356;229,7396709994;75,7858283255;107,1773462536;100;87,0550563296;151,571656651;282,8427124746;123,1144413345
"58";"Ssi_2";"Ssi";"S";"Si";"N";0;1;"S_Si_N";23,3258247884;162,4504792712;107,1773462536;131,9507910773;NA;81,2252396356;81,2252396356;87,0550563296;87,0550563296;141,4213562373;114,8698354997;151,571656651;162,4504792712;46,6516495768;174,1101126592;50;100;70,7106781187;214,3546925073;21,7637640824;114,8698354997;107,1773462536;93,3032991537;40,6126198178;303,1433133021;229,7396709994;43,5275281648;61,5572206672;214,3546925073;75,7858283255;114,8698354997;61,5572206672;61,5572206672;114,8698354997;100;229,7396709994;65,98;141,42;87,0550563296;123,1144413345;324,9009585425;114,8698354997;131,9507910773;131,95;100;200;984,9155306759;141,4213562373
"59";"Ssi_3";"Ssi";"S";"Si";"N";0;1;"S_Si_N";9,4732285407;NA;141,4213562373;186,6065983074;151,571656651;70,7106781187;75,7858283255;93,3032991537;87,0550563296;174,1101126592;123,1144413345;131,9507910773;131,9507910773;57,4349177499;174,1101126592;65,9753955386;100;57,4349177499;162,4504792712;26,7943365634;114,8698354997;123,1144413345;131,9507910773;65,9753955386;214,3546925073;303,1433133021;53,5886731268;75,7858283255;186,6065983074;151,571656651;162,4504792712;87,0550563296;70,7106781187;131,9507910773;162,4504792712;151,571656651;81,23;131,95;100;107,1773462536;303,1433133021;107,1773462536;151,571656651;131,95;114,8698354997;229,7396709994;857,418770029;174,1101126592
"60";"Ssi_4";"Ssi";"S";"Si";"N";0;1;"S_Si_N";6,6985841409;46,6516495768;70,7106781187;20,3063099089;81,2252396356;20,3063099089;50;61,5572206672;23,3258247884;100;93,3032991537;100;75,7858283255;37,8929141628;114,8698354997;35,3553390593;57,4349177499;43,5275281648;114,8698354997;11,6629123942;70,7106781187;50;37,8929141628;46,6516495768;87,0550563296;93,3032991537;35,3553390593;57,4349177499;100;61,5572206672;100;53,5886731268;50;57,4349177499;57,4349177499;151,571656651;50;75,79;53,5886731268;65,9753955386;214,3546925073;70,7106781187;93,3032991537;70,71;65,9753955386;131,9507910773;303,1433133021;87,0550563296
"61";"Ssi_H_1";"Ssi";"S";"Si";"H";0;1;"S_Si_H";25;114,8698354997;100;21,7637640824;174,1101126592;81,2252396356;107,1773462536;107,1773462536;70,7106781187;107,1773462536;87,0550563296;123,1144413345;107,1773462536;57,4349177499;131,9507910773;26,7943365634;87,0550563296;75,7858283255;123,1144413345;15,3893051668;162,4504792712;81,2252396356;81,2252396356;37,8929141628;263,9015821546;100;35,3553390593;46,6516495768;107,1773462536;100;107,1773462536;46,6516495768;53,5886731268;65,9753955386;186,6065983074;186,6065983074;123,11;107,18;151,571656651;87,0550563296;131,9507910773;93,3032991537;162,4504792712;114,87;75,7858283255;141,4213562373;459,4793419988;93,3032991537
"62";"Ssi_H_2";"Ssi";"S";"Si";"H";0;1;"S_Si_H";35,3553390593;214,3546925073;123,1144413345;114,8698354997;229,7396709994;229,7396709994;100;87,0550563296;246,228882669;174,1101126592;114,8698354997;174,1101126592;114,8698354997;35,3553390593;162,4504792712;35,3553390593;123,1144413345;131,9507910773;200;25;151,571656651;100;131,9507910773;20,3063099089;492,457765338;214,3546925073;61,5572206672;61,5572206672;162,4504792712;174,1101126592;107,1773462536;53,5886731268;65,9753955386;107,1773462536;229,7396709994;214,3546925073;151,57;141,42;174,1101126592;131,9507910773;246,228882669;107,1773462536;162,4504792712;141,42;107,1773462536;229,7396709994;984,9155306759;114,8698354997
"63";"Ssi_H_3";"Ssi";"S";"Si";"H";0;1;"S_Si_H";23,3258247884;186,6065983074;123,1144413345;20,3063099089;246,228882669;81,2252396356;65,9753955386;65,9753955386;246,228882669;162,4504792712;114,8698354997;162,4504792712;93,3032991537;16,4938488847;162,4504792712;37,8929141628;107,1773462536;70,7106781187;151,571656651;23,3258247884;162,4504792712;65,9753955386;100;20,3063099089;324,9009585425;263,9015821546;43,5275281648;46,6516495768;100;151,571656651;61,5572206672;32,9876977693;65,9753955386;87,0550563296;282,8427124746;114,8698354997;131,95;107,18;141,4213562373;123,1144413345;151,571656651;100;162,4504792712;123,11;114,8698354997;214,3546925073;984,9155306759;114,8698354997
"64";"Ssi_H_4";"Ssi";"S";"Si";"H";0;1;"S_Si_H";35,3553390593;131,9507910773;75,7858283255;6,25;141,4213562373;57,4349177499;35,3553390593;53,5886731268;53,5886731268;123,1144413345;87,0550563296;123,1144413345;81,2252396356;28,7174588749;114,8698354997;21,7637640824;87,0550563296;53,5886731268;114,8698354997;13,3971682817;123,1144413345;70,7106781187;46,6516495768;17,6776695297;174,1101126592;107,1773462536;35,3553390593;30,7786103336;87,0550563296;123,1144413345;53,5886731268;28,7174588749;43,5275281648;50;186,6065983074;141,4213562373;141,42;53,59;123,1144413345;75,7858283255;131,9507910773;87,0550563296;123,1144413345;75,79;61,5572206672;141,4213562373;565,6854249492;81,2252396356
