"";"Bezeichnung";"Gruppe";"Behandlung";"siRNA";"POXIE";"Q";"S";"ExpGroup";"CA9";"ANGPTL4";"BNIP3L";"EPHA3";"SPAG4";"ALDOC";"LDHA";"PGK1";"PPFIA4";"ALDOA";"ENO1";"HK2";"PKM";"IGFBP3";"PDK1";"PFKFB4";"SLC2A1";"CA12";"PFKFB3";"HIF1A";"P4HA1";"VEGFA";"EGLN3";"UCN";"CRABP1";"LOX";"SLC25A43";"DCTPP1";"TMEM45A";"ZP1";"RAB20";"GPR160";"CYBRD1";"CCL28";"RASSF4";"CD274";"NDRG1";"GAPDH";"SLC2A3";"ENO2";"CDC25A";"GPI";"HK1";"PFKL";"PGM1";"PPARGC1B";"TGFB2";"TPI1"
"11";"Kosi_3";"Csi";"C";"Si";"N";0;0;"C_Si_N";32,9876977693;NA;162,4504792712;75,7858283255;303,1433133021;200;93,3032991537;107,1773462536;696,4404506369;214,3546925073;141,4213562373;123,1144413345;151,571656651;70,7106781187;151,571656651;186,6065983074;107,1773462536;100;200;32,9876977693;174,1101126592;131,9507910773;282,8427124746;141,4213562373;263,9015821546;428,7093850145;37,8929141628;46,6516495768;93,3032991537;400;200;87,0550563296;81,2252396356;141,4213562373;263,9015821546;70,7106781187;123,11;214,35;246,228882669;174,1101126592;174,1101126592;131,9507910773;186,6065983074;186,61;141,4213562373;229,7396709994;348,2202253184;186,6065983074
"12";"Kosi_4";"Csi";"C";"Si";"N";0;0;"C_Si_N";25;492,457765338;131,9507910773;131,9507910773;200;57,4349177499;81,2252396356;75,7858283255;428,7093850145;174,1101126592;131,9507910773;114,8698354997;123,1144413345;70,7106781187;141,4213562373;200;87,0550563296;174,1101126592;229,7396709994;17,6776695297;131,9507910773;100;174,1101126592;151,571656651;229,7396709994;373,2131966147;57,4349177499;75,7858283255;100;324,9009585425;174,1101126592;107,1773462536;87,0550563296;151,571656651;229,7396709994;70,7106781187;114,87;200;162,4504792712;162,4504792712;214,3546925073;131,9507910773;162,4504792712;174,11;151,571656651;229,7396709994;246,228882669;186,6065983074
"13";"Kosi_H_1";"Csi";"C";"Si";"H";0;0;"C_Si_H";37,8929141628;229,7396709994;131,9507910773;30,7786103336;200;282,8427124746;123,1144413345;100;428,7093850145;141,4213562373;87,0550563296;107,1773462536;100;65,9753955386;123,1144413345;131,9507910773;100;123,1144413345;123,1144413345;20,3063099089;200;123,1144413345;186,6065983074;200;324,9009585425;174,1101126592;40,6126198178;40,6126198178;81,2252396356;186,6065983074;114,8698354997;65,9753955386;57,4349177499;87,0550563296;263,9015821546;53,5886731268;200;114,87;246,228882669;151,571656651;81,2252396356;123,1144413345;151,571656651;123,11;114,8698354997;162,4504792712;200;107,1773462536
"14";"Kosi_H_2";"Csi";"C";"Si";"H";0;0;"C_Si_H";174,1101126592;282,8427124746;174,1101126592;107,1773462536;303,1433133021;800;107,1773462536;93,3032991537;857,418770029;229,7396709994;114,8698354997;151,571656651;162,4504792712;87,0550563296;162,4504792712;162,4504792712;131,9507910773;131,9507910773;200;32,9876977693;282,8427124746;131,9507910773;373,2131966147;123,1144413345;606,2866266042;324,9009585425;70,7106781187;50;151,571656651;373,2131966147;162,4504792712;70,7106781187;87,0550563296;107,1773462536;428,7093850145;50;282,84;200;400;214,3546925073;131,9507910773;186,6065983074;214,3546925073;186,61;162,4504792712;214,3546925073;492,457765338;162,4504792712
"15";"Kosi_H_3";"Csi";"C";"Si";"H";0;0;"C_Si_H";61,5572206672;428,7093850145;174,1101126592;28,7174588749;324,9009585425;200;93,3032991537;87,0550563296;800;214,3546925073;114,8698354997;123,1144413345;131,9507910773;50;141,4213562373;141,4213562373;114,8698354997;123,1144413345;174,1101126592;26,7943365634;174,1101126592;114,8698354997;263,9015821546;141,4213562373;492,457765338;246,228882669;50;57,4349177499;87,0550563296;565,6854249492;229,7396709994;107,1773462536;87,0550563296;131,9507910773;492,457765338;37,8929141628;263,9;151,57;200;214,3546925073;114,8698354997;141,4213562373;186,6065983074;162,45;162,4504792712;186,6065983074;400;151,571656651
"16";"Kosi_H_4";"Csi";"C";"Si";"H";0;0;"C_Si_H";75,7858283255;348,2202253185;162,4504792712;32,9876977693;282,8427124746;373,2131966147;75,7858283255;65,9753955386;746,4263932294;174,1101126592;114,8698354997;107,1773462536;114,8698354997;57,4349177499;131,9507910773;141,4213562373;100;141,4213562373;186,6065983074;26,7943365634;214,3546925073;131,9507910773;229,7396709994;141,4213562373;492,457765338;151,571656651;65,9753955386;53,5886731268;81,2252396356;373,2131966147;162,4504792712;53,5886731268;75,7858283255;123,1144413345;459,4793419988;32,9876977693;303,14;114,87;246,228882669;186,6065983074;107,1773462536;123,1144413345;162,4504792712;174,11;123,1144413345;186,6065983074;246,228882669;131,9507910773
"17";"Q_1";"Q";"Q";"NoSi";"N";1;0;"Q_NoSi_N";1131,3708498985;18,9464570814;141,4213562373;81,2252396356;214,3546925073;984,9155306759;131,9507910773;162,4504792712;696,4404506369;162,4504792712;141,4213562373;114,8698354997;114,8698354997;50;174,1101126592;114,8698354997;114,8698354997;229,7396709994;214,3546925073;123,1144413345;200;75,7858283255;246,228882669;162,4504792712;348,2202253185;131,9507910773;107,1773462536;162,4504792712;186,6065983074;303,1433133021;123,1144413345;100;114,8698354997;151,571656651;114,8698354997;107,1773462536;70,71;174,11;43,5275281648;200;282,8427124746;141,4213562373;114,8698354997;151,57;123,1144413345;200;282,8427124746;200
"18";"Q_2";"Q";"Q";"NoSi";"N";1;0;"Q_NoSi_N";800;61,5572206672;174,1101126592;459,4793419988;348,2202253184;1492,8527864589;131,9507910773;123,1144413345;1392,8809012738;229,7396709994;131,9507910773;114,8698354997;174,1101126592;53,5886731268;186,6065983074;186,6065983074;131,9507910773;428,7093850145;348,2202253185;162,4504792712;263,9015821546;107,1773462536;428,7093850145;214,3546925073;428,7093850145;131,9507910773;151,571656651;151,571656651;200;527,8031643092;162,4504792712;141,4213562373;162,4504792712;186,6065983074;229,7396709994;100;123,11;214,35;87,0550563296;200;214,3546925073;131,9507910773;151,571656651;214,35;174,1101126592;263,9015821546;459,4793419988;246,228882669
"19";"Q_3";"Q";"Q";"NoSi";"N";1;0;"Q_NoSi_N";984,9155306759;114,8698354997;200;246,228882669;428,7093850145;857,418770029;107,1773462536;114,8698354997;1600;282,8427124746;174,1101126592;114,8698354997;162,4504792712;37,8929141628;200;174,1101126592;162,4504792712;324,9009585425;348,2202253185;162,4504792712;246,228882669;93,3032991537;492,457765338;151,571656651;400;214,3546925073;131,9507910773;141,4213562373;151,571656651;746,4263932294;214,3546925073;151,571656651;162,4504792712;174,1101126592;373,2131966147;61,5572206672;174,11;214,35;100;200;246,228882669;141,4213562373;174,1101126592;303,14;200;324,9009585425;373,2131966147;214,3546925073
"20";"Q_4";"Q";"Q";"NoSi";"N";1;0;"Q_NoSi_N";1212,5732532083;46,6516495768;141,4213562373;263,9015821546;282,8427124746;746,4263932294;81,2252396356;70,7106781187;857,418770029;200;151,571656651;107,1773462536;93,3032991537;35,3553390593;162,4504792712;123,1144413345;123,1144413345;246,228882669;229,7396709994;131,9507910773;229,7396709994;70,7106781187;246,228882669;141,4213562373;282,8427124746;141,4213562373;107,1773462536;141,4213562373;131,9507910773;527,8031643092;123,1144413345;87,0550563296;141,4213562373;151,571656651;151,571656651;93,3032991537;131,95;131,95;70,7106781187;174,1101126592;282,8427124746;123,1144413345;107,1773462536;200;162,4504792712;200;200;200
"21";"Q_H_1";"Q";"Q";"NoSi";"H";1;0;"Q_NoSi_H";12800;2111,2126572366;303,1433133021;7879,3242454075;NA;16889,701257893;123,1144413345;186,6065983074;7879,3242454075;428,7093850145;186,6065983074;459,4793419988;93,3032991537;459,4793419988;428,7093850145;373,2131966147;246,228882669;696,4404506369;649,801917085;70,7106781187;800;151,571656651;1837,9173679953;373,2131966147;1714,8375400581;984,9155306759;123,1144413345;65,9753955386;649,801917085;5571,5236050952;246,228882669;282,8427124746;123,1144413345;246,228882669;1600;131,9507910773;2785,76;459,48;324,9009585425;527,8031643092;30,7786103336;162,4504792712;282,8427124746;229,74;214,3546925073;28,7174588749;87,0550563296;200
"22";"Q_H_2";"Q";"Q";"NoSi";"H";1;0;"Q_NoSi_H";11942,8222916712;2262,741699797;324,9009585425;11942,8222916712;1055,6063286183;15758,6484908149;174,1101126592;174,1101126592;11942,8222916712;492,457765338;174,1101126592;400;151,571656651;492,457765338;492,457765338;373,2131966147;246,228882669;1055,6063286183;649,801917085;70,7106781187;649,801917085;100;2985,7055729178;324,9009585425;2111,2126572366;1714,8375400581;123,1144413345;81,2252396356;746,4263932294;6859,3501602323;400;400;141,4213562373;229,7396709994;1492,8527864589;75,7858283255;2985,71;459,48;348,2202253184;565,6854249492;43,5275281648;151,571656651;263,9015821546;303,14;246,228882669;23,3258247884;162,4504792712;186,6065983074
"23";"Q_H_3";"Q";"Q";"NoSi";"H";1;0;"Q_NoSi_H";9700,5860256666;2262,741699797;303,1433133021;7351,669471981;1055,6063286183;9700,5860256665;123,1144413345;100;7351,669471981;492,457765338;229,7396709994;400;114,8698354997;492,457765338;400;348,2202253184;229,7396709994;696,4404506369;606,2866266042;81,2252396356;565,6854249492;93,3032991537;2599,20766834;263,9015821546;1492,8527864589;1055,6063286183;87,0550563296;57,4349177499;492,457765338;6400;303,1433133021;282,8427124746;151,571656651;246,228882669;1492,8527864589;50;2599,21;400;229,7396709994;492,457765338;37,8929141628;151,571656651;263,9015821546;282,84;174,1101126592;23,3258247884;100;174,1101126592
"24";"Q_H_4";"Q";"Q";"NoSi";"H";1;0;"Q_NoSi_H";6859,3501602323;2425,1465064166;229,7396709994;4525,4833995939;984,9155306759;10396,8306733598;87,0550563296;107,1773462536;6400;348,2202253185;186,6065983074;348,2202253185;107,1773462536;324,9009585425;324,9009585425;348,2202253184;186,6065983074;606,2866266042;303,1433133021;61,5572206672;400;93,3032991537;2262,741699797;303,1433133021;1714,8375400581;800;81,2252396356;43,5275281648;527,8031643092;5571,5236050952;263,9015821546;229,7396709994;107,1773462536;263,9015821546;1714,8375400581;53,5886731268;2599,21;123,11;324,9009585425;428,7093850145;40,6126198178;131,9507910773;246,228882669;214,35;200;15,3893051668;70,7106781187;151,571656651
"25";"Qsi_1";"Qsi";"Q";"Si";"N";1;0;"Q_Si_N";21,7637640824;26,7943365634;114,8698354997;65,9753955386;214,3546925073;348,2202253184;141,4213562373;114,8698354997;492,457765338;186,6065983074;107,1773462536;57,4349177499;214,3546925073;21,7637640824;107,1773462536;174,1101126592;93,3032991537;131,9507910773;282,8427124746;25;200;93,3032991537;282,8427124746;200;324,9009585425;162,4504792712;70,7106781187;57,4349177499;100;229,7396709994;123,1144413345;65,9753955386;65,9753955386;141,4213562373;186,6065983074;46,6516495768;57,43;151,57;107,1773462536;162,4504792712;324,9009585425;123,1144413345;131,9507910773;174,11;162,4504792712;214,3546925073;400;200
"26";"Qsi_2";"Qsi";"Q";"Si";"N";1;0;"Q_Si_N";40,6126198178;65,9753955386;141,4213562373;131,9507910773;324,9009585425;800;131,9507910773;131,9507910773;746,4263932294;246,228882669;141,4213562373;81,2252396356;174,1101126592;28,7174588749;141,4213562373;186,6065983074;107,1773462536;246,228882669;324,9009585425;32,9876977693;263,9015821546;114,8698354997;492,457765338;131,9507910773;459,4793419988;200;53,5886731268;65,9753955386;114,8698354997;565,6854249492;174,1101126592;61,5572206672;93,3032991537;151,571656651;246,228882669;61,5572206672;81,23;200;87,0550563296;186,6065983074;303,1433133021;151,571656651;151,571656651;214,35;214,3546925073;348,2202253184;459,4793419988;263,9015821546
"27";"Qsi_3";"Qsi";"Q";"Si";"N";1;0;"Q_Si_N";37,8929141628;107,1773462536;141,4213562373;46,6516495768;373,2131966147;282,8427124746;114,8698354997;81,2252396356;649,801917085;246,228882669;151,571656651;65,9753955386;151,571656651;14,3587294375;123,1144413345;162,4504792712;114,8698354997;151,571656651;348,2202253185;30,7786103336;229,7396709994;93,3032991537;324,9009585425;114,8698354997;348,2202253185;151,571656651;50;65,9753955386;70,7106781187;527,8031643092;141,4213562373;40,6126198178;75,7858283255;123,1144413345;263,9015821546;43,5275281648;75,79;162,45;200;151,571656651;151,571656651;100;151,571656651;200;174,1101126592;229,7396709994;373,2131966147;200
"28";"Qsi_4";"Qsi";"Q";"Si";"N";1;0;"Q_Si_N";40,6126198178;37,8929141628;81,2252396356;37,8929141628;200;162,4504792712;57,4349177499;57,4349177499;282,8427124746;151,571656651;107,1773462536;46,6516495768;100;9,4732285407;87,0550563296;93,3032991537;65,9753955386;151,571656651;186,6065983074;18,9464570814;186,6065983074;65,9753955386;174,1101126592;114,8698354997;200;214,3546925073;30,7786103336;50;40,6126198178;246,228882669;87,0550563296;43,5275281648;61,5572206672;87,0550563296;141,4213562373;40,6126198178;57,43;107,18;81,2252396356;107,1773462536;246,228882669;107,1773462536;100;162,45;123,1144413345;174,1101126592;200;151,571656651
"29";"Qsi_H_1";"Qsi";"Q";"Si";"H";1;0;"Q_Si_H";162,4504792712;263,9015821546;123,1144413345;30,7786103336;303,1433133021;746,4263932294;131,9507910773;114,8698354997;527,8031643092;200;100;131,9507910773;107,1773462536;30,7786103336;141,4213562373;114,8698354997;131,9507910773;229,7396709994;229,7396709994;26,7943365634;263,9015821546;114,8698354997;373,2131966147;214,3546925073;800;123,1144413345;50;50;114,8698354997;400;162,4504792712;43,5275281648;65,9753955386;131,9507910773;348,2202253185;65,9753955386;246,23;131,95;324,9009585425;200;81,2252396356;162,4504792712;174,1101126592;151,57;114,8698354997;141,4213562373;263,9015821546;141,4213562373
"30";"Qsi_H_2";"Qsi";"Q";"Si";"H";1;0;"Q_Si_H";123,1144413345;162,4504792712;131,9507910773;93,3032991537;282,8427124746;1299,60383417;100;93,3032991537;1055,6063286183;229,7396709994;107,1773462536;123,1144413345;141,4213562373;23,3258247884;162,4504792712;123,1144413345;123,1144413345;200;229,7396709994;32,9876977693;263,9015821546;93,3032991537;492,457765338;93,3032991537;696,4404506369;229,7396709994;53,5886731268;57,4349177499;114,8698354997;428,7093850145;174,1101126592;43,5275281648;81,2252396356;107,1773462536;324,9009585425;40,6126198178;214,35;131,95;246,228882669;200;151,571656651;131,9507910773;151,571656651;123,11;151,571656651;186,6065983074;492,457765338;141,4213562373
"31";"Qsi_H_3";"Qsi";"Q";"Si";"H";1;0;"Q_Si_H";123,1144413345;214,3546925073;162,4504792712;32,9876977693;348,2202253184;459,4793419988;114,8698354997;57,4349177499;1392,8809012738;246,228882669;131,9507910773;141,4213562373;131,9507910773;25;151,571656651;131,9507910773;123,1144413345;186,6065983074;229,7396709994;37,8929141628;214,3546925073;114,8698354997;428,7093850145;123,1144413345;606,2866266042;263,9015821546;37,8929141628;46,6516495768;87,0550563296;746,4263932294;151,571656651;81,2252396356;81,2252396356;107,1773462536;373,2131966147;37,8929141628;246,23;141,42;200;229,7396709994;114,8698354997;114,8698354997;174,1101126592;174,11;174,1101126592;186,6065983074;527,8031643092;162,4504792712
"32";"Qsi_H_4";"Qsi";"Q";"Si";"H";1;0;"Q_Si_H";246,228882669;282,8427124746;107,1773462536;15,3893051668;246,228882669;857,418770029;75,7858283255;57,4349177499;459,4793419988;174,1101126592;93,3032991537;100;87,0550563296;17,6776695297;123,1144413345;87,0550563296;93,3032991537;131,9507910773;141,4213562373;25;162,4504792712;81,2252396356;373,2131966147;93,3032991537;400;65,9753955386;25;28,7174588749;50;373,2131966147;61,5572206672;21,7637640824;53,5886731268;61,5572206672;303,1433133021;25;263,9;65,98;214,3546925073;151,571656651;162,4504792712;93,3032991537;114,8698354997;131,95;107,1773462536;151,571656651;263,9015821546;114,8698354997
"33";"SQ_1";"SQ";"SQ";"NoSi";"N";1;1;"SQ_NoSi_N";5571,5236050952;32,9876977693;151,571656651;527,8031643092;348,2202253184;2262,741699797;151,571656651;174,1101126592;1837,9173679953;186,6065983074;151,571656651;174,1101126592;107,1773462536;81,2252396356;263,9015821546;107,1773462536;123,1144413345;263,9015821546;229,7396709994;107,1773462536;263,9015821546;70,7106781187;324,9009585425;93,3032991537;606,2866266042;162,4504792712;87,0550563296;93,3032991537;373,2131966147;857,418770029;200;100;93,3032991537;174,1101126592;131,9507910773;141,4213562373;93,3;162,45;37,8929141628;282,8427124746;303,1433133021;123,1144413345;131,9507910773;200;162,4504792712;141,4213562373;400;246,228882669
"34";"SQ_2";"SQ";"SQ";"NoSi";"N";1;1;"SQ_NoSi_N";1969,8310613519;50;151,571656651;800;303,1433133021;1714,8375400581;151,571656651;131,9507910773;2111,2126572366;186,6065983074;151,571656651;214,3546925073;162,4504792712;100;282,8427124746;107,1773462536;151,571656651;373,2131966147;282,8427124746;131,9507910773;246,228882669;70,7106781187;324,9009585425;81,2252396356;606,2866266042;151,571656651;123,1144413345;162,4504792712;282,8427124746;918,9586839976;151,571656651;162,4504792712;114,8698354997;186,6065983074;141,4213562373;229,7396709994;81,23;200;30,7786103336;246,228882669;348,2202253185;114,8698354997;141,4213562373;174,11;162,4504792712;229,7396709994;649,801917085;263,9015821546
"35";"SQ_3";"SQ";"SQ";"NoSi";"N";1;1;"SQ_NoSi_N";3200;87,0550563296;174,1101126592;246,228882669;400;1055,6063286183;114,8698354997;87,0550563296;2425,1465064166;246,228882669;151,571656651;214,3546925073;151,571656651;70,7106781187;282,8427124746;114,8698354997;174,1101126592;303,1433133021;303,1433133021;151,571656651;282,8427124746;70,7106781187;348,2202253185;107,1773462536;527,8031643092;282,8427124746;100;174,1101126592;246,228882669;1299,60383417;229,7396709994;123,1144413345;114,8698354997;229,7396709994;186,6065983074;200;100;174,11;65,9753955386;246,228882669;348,2202253185;123,1144413345;186,6065983074;229,74;186,6065983074;303,1433133021;746,4263932294;324,9009585425
"36";"SQ_4";"SQ";"SQ";"NoSi";"N";1;1;"SQ_NoSi_N";3200;50;131,9507910773;174,1101126592;303,1433133021;1212,5732532083;87,0550563296;65,9753955386;1131,3708498985;186,6065983074;151,571656651;174,1101126592;100;65,9753955386;229,7396709994;75,7858283255;131,9507910773;263,9015821546;200;100;246,228882669;50;174,1101126592;100;606,2866266042;93,3032991537;93,3032991537;174,1101126592;246,228882669;918,9586839976;200;93,3032991537;107,1773462536;174,1101126592;131,9507910773;214,3546925073;75,79;114,87;30,7786103336;174,1101126592;348,2202253185;107,1773462536;151,571656651;174,11;151,571656651;214,3546925073;400;200
"37";"SQ_H_1";"SQ";"SQ";"NoSi";"H";1;1;"SQ_NoSi_H";9700,5860256666;1969,8310613519;246,228882669;4850,2930128333;800;9050,9667991878;186,6065983074;186,6065983074;3675,8347359905;324,9009585425;174,1101126592;324,9009585425;114,8698354997;214,3546925073;373,2131966147;263,9015821546;246,228882669;696,4404506369;527,8031643092;57,4349177499;565,6854249492;107,1773462536;1131,3708498985;186,6065983074;1131,3708498985;696,4404506369;114,8698354997;70,7106781187;565,6854249492;3939,6621227037;373,2131966147;263,9015821546;123,1144413345;246,228882669;1392,8809012738;214,3546925073;1600;282,84;282,8427124746;428,7093850145;114,8698354997;131,9507910773;263,9015821546;229,74;162,4504792712;61,5572206672;186,6065983074;186,6065983074
"38";"SQ_H_2";"SQ";"SQ";"NoSi";"H";1;1;"SQ_NoSi_H";6859,3501602323;1837,9173679953;246,228882669;6400;857,418770029;7351,669471981;151,571656651;174,1101126592;5571,5236050952;303,1433133021;151,571656651;303,1433133021;151,571656651;141,4213562373;373,2131966147;186,6065983074;229,7396709994;606,2866266042;492,457765338;61,5572206672;459,4793419988;65,9753955386;984,9155306759;100;1714,8375400581;1299,60383417;93,3032991537;70,7106781187;527,8031643092;4525,4833995939;459,4793419988;263,9015821546;100;282,8427124746;1299,60383417;303,1433133021;1492,85;246,23;186,6065983074;400;107,1773462536;114,8698354997;214,3546925073;186,61;174,1101126592;75,7858283255;303,1433133021;174,1101126592
"39";"SQ_H_3";"SQ";"SQ";"NoSi";"H";1;1;"SQ_NoSi_H";7879,3242454075;0,0026567095;303,1433133021;5571,5236050952;1055,6063286183;3429,6750801161;186,6065983074;131,9507910773;7351,669471981;428,7093850145;263,9015821546;348,2202253185;100;200;400;229,7396709994;200;527,8031643092;606,2866266042;75,7858283255;492,457765338;93,3032991537;1392,8809012738;162,4504792712;1299,60383417;492,457765338;114,8698354997;107,1773462536;492,457765338;5971,4111458356;348,2202253185;324,9009585425;131,9507910773;282,8427124746;1492,8527864589;229,7396709994;1969,83;263,9;229,7396709994;400;93,3032991537;151,571656651;303,1433133021;282,84;186,6065983074;87,0550563296;282,8427124746;186,6065983074
"40";"SQ_H_4";"SQ";"SQ";"NoSi";"H";1;1;"SQ_NoSi_H";5571,5236050952;1714,8375400581;214,3546925073;4850,2930128333;800;3939,6621227037;93,3032991537;107,1773462536;4222,4253144733;246,228882669;151,571656651;303,1433133021;107,1773462536;123,1144413345;263,9015821546;214,3546925073;151,571656651;459,4793419988;400;53,5886731268;324,9009585425;65,9753955386;918,9586839976;141,4213562373;1131,3708498985;459,4793419988;81,2252396356;70,7106781187;400;4222,4253144733;324,9009585425;162,4504792712;87,0550563296;263,9015821546;1212,5732532083;214,3546925073;1392,88;186,61;229,7396709994;348,2202253185;75,7858283255;141,4213562373;200;214,35;151,571656651;65,9753955386;174,1101126592;151,571656651
"41";"SQsi_1";"SQsi";"SQ";"Si";"N";1;1;"SQ_Si_N";8,2469244423;13,3971682817;75,7858283255;65,9753955386;87,0550563296;151,571656651;131,9507910773;100;114,8698354997;141,4213562373;123,1144413345;100;107,1773462536;53,5886731268;107,1773462536;53,5886731268;93,3032991537;114,8698354997;174,1101126592;25;141,4213562373;70,7106781187;162,4504792712;57,4349177499;303,1433133021;87,0550563296;40,6126198178;65,9753955386;100;123,1144413345;81,2252396356;43,5275281648;53,5886731268;93,3032991537;87,0550563296;100;32,99;100;70,7106781187;162,4504792712;492,457765338;123,1144413345;107,1773462536;107,18;107,1773462536;186,6065983074;565,6854249492;186,6065983074
"42";"SQsi_2";"SQsi";"SQ";"Si";"N";1;1;"SQ_Si_N";21,7637640824;37,8929141628;87,0550563296;65,9753955386;107,1773462536;229,7396709994;100;123,1144413345;214,3546925073;174,1101126592;131,9507910773;123,1144413345;151,571656651;53,5886731268;123,1144413345;46,6516495768;107,1773462536;174,1101126592;229,7396709994;30,7786103336;162,4504792712;75,7858283255;246,228882669;61,5572206672;459,4793419988;87,0550563296;40,6126198178;87,0550563296;131,9507910773;186,6065983074;131,9507910773;43,5275281648;65,9753955386;114,8698354997;114,8698354997;174,1101126592;43,53;174,11;65,9753955386;162,4504792712;565,6854249492;123,1144413345;141,4213562373;162,45;131,9507910773;303,1433133021;984,9155306759;214,3546925073
"43";"SQsi_3";"SQsi";"SQ";"Si";"N";1;1;"SQ_Si_N";28,7174588749;50;100;23,3258247884;131,9507910773;100;100;75,7858283255;174,1101126592;200;151,571656651;114,8698354997;114,8698354997;30,7786103336;131,9507910773;57,4349177499;123,1144413345;107,1773462536;200;28,7174588749;141,4213562373;65,9753955386;186,6065983074;57,4349177499;324,9009585425;70,7106781187;50;70,7106781187;87,0550563296;186,6065983074;93,3032991537;30,7786103336;53,5886731268;93,3032991537;123,1144413345;100;37,89;131,95;70,7106781187;151,571656651;459,4793419988;107,1773462536;131,9507910773;141,42;123,1144413345;229,7396709994;857,418770029;151,571656651
"44";"SQsi_4";"SQsi";"SQ";"Si";"N";1;1;"SQ_Si_N";43,5275281648;21,7637640824;57,4349177499;20,3063099089;93,3032991537;61,5572206672;61,5572206672;57,4349177499;100;141,4213562373;107,1773462536;93,3032991537;87,0550563296;26,7943365634;93,3032991537;40,6126198178;70,7106781187;87,0550563296;131,9507910773;17,6776695297;141,4213562373;46,6516495768;107,1773462536;87,0550563296;324,9009585425;107,1773462536;50;81,2252396356;93,3032991537;174,1101126592;114,8698354997;61,5572206672;53,5886731268;107,1773462536;93,3032991537;114,8698354997;30,78;93,3;61,5572206672;107,1773462536;428,7093850145;93,3032991537;107,1773462536;131,95;123,1144413345;186,6065983074;565,6854249492;162,4504792712
